strategy,n,proxy_score,predicted_final,predicted_final_error,true_return,true_final,true_final_error,true_success,proxy_true_gap,hallucinated_rollout,mean_selected_action,retrieval_stale_rate,retrieval_precision,memory_gate,retrieval_disagreement,dropout_variance,diagnostic_risk,trial,seed,stale_fraction,regime
base_bon,1,-12.192512631485572,-6.012512631485572,12.012512631485572,-12.18,-6.0,12.0,0.0,-0.012512631485572356,0.0,0.75,0.0,,0.0,0.0,0.0,0.0,0,1342392264,0.45,reverse
base_bon,4,-1.2245980700665013,7.014598070066501,1.0145980700665014,-1.21,7.0,1.0,1.0,-0.014598070066501379,0.0,-0.875,0.0,,0.0,0.0,0.0,0.0,0,1342422183,0.45,reverse
base_bon,16,-0.19251263148557235,6.012512631485572,0.012512631485572356,-0.18,6.0,0.0,1.0,-0.012512631485572356,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,0,1342541859,0.45,reverse
base_bon,64,-0.19251263148557235,6.012512631485572,0.012512631485572356,-0.18,6.0,0.0,1.0,-0.012512631485572356,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,0,1343020563,0.45,reverse
memory_bon,1,-6.972435895011959,-0.7924358950119594,6.792435895011959,-12.18,-6.0,12.0,0.0,5.207564104988041,0.0,0.75,0.47222222222222215,0.5277777777777778,0.86,0.5277777777777778,0.015175636841861672,1.18210764210234,0,1342392264,0.45,reverse
memory_bon,4,-4.2959054729097925,1.9140945270902077,4.085905472909793,-5.21,1.0,5.0,0.0,0.9140945270902074,0.0,-0.125,0.5555555555555556,0.4444444444444444,0.86,0.6111111111111112,0.03399791616857415,1.5746416606895564,0,1342422183,0.45,reverse
memory_bon,16,-3.4756575403978984,2.7043424596021017,3.2956575403978983,-2.18,4.0,2.0,0.0,-1.2956575403978983,0.0,-0.5,0.5,0.5,0.86,0.5555555555555556,0.053922533183095575,1.6122446246371074,0,1342541859,0.45,reverse
memory_bon,64,-3.8791676619629265,2.3308323380370735,3.6691676619629265,-1.21,7.0,1.0,1.0,-2.6691676619629265,0.0,-0.875,0.4583333333333333,0.5416666666666667,0.86,0.7182539682539681,0.05051303583266141,1.7827437315792385,0,1343020563,0.45,reverse
oracle_memory_bon,1,-11.679176017357225,-5.499176017357226,11.499176017357225,-12.18,-6.0,12.0,0.0,0.5008239826427747,0.0,0.75,0.0,1.0,0.86,0.0,0.0028883594758663984,0.034660313710396774,0,1342392264,0.45,reverse
oracle_memory_bon,4,-0.7298583070562357,5.480141692943764,0.5198583070562357,-1.21,7.0,1.0,1.0,0.4801416929437643,0.0,-0.875,0.0,1.0,0.86,0.0,0.0070611653469909805,0.08473398416389177,0,1342422183,0.45,reverse
oracle_memory_bon,16,-0.436284621575745,5.803715378424255,0.196284621575745,-2.24,8.0,2.0,0.0,1.8037153784242552,0.0,-1.0,0.0,1.0,0.86,0.0,0.006811367242664073,0.08173640691196889,0,1342541859,0.45,reverse
oracle_memory_bon,64,-0.436284621575745,5.803715378424255,0.196284621575745,-2.24,8.0,2.0,0.0,1.8037153784242552,0.0,-1.0,0.0,1.0,0.86,0.0,0.006811367242664073,0.08173640691196889,0,1343020563,0.45,reverse
repaired_memory_bon,1,-11.958049763323931,-5.428707616150845,11.428707616150845,-12.18,-6.0,12.0,0.0,0.2219502366760686,0.0,0.75,0.1477272727272727,0.8522727272727273,0.613480243180829,0.22916666666666669,0.0032599287078206632,0.3881579413034287,0,1342392264,0.45,reverse
repaired_memory_bon,4,-0.6713038666786786,6.037817529701046,0.037817529701046126,-1.21,7.0,1.0,1.0,0.5386961333213214,0.0,-0.875,0.1477272727272727,0.8522727272727273,0.5781381793739953,0.27281746031746035,0.006494161458748404,0.4705403744195916,0,1342422183,0.45,reverse
repaired_memory_bon,16,-1.1876837171802774,5.353547308100593,0.6464526918994071,-0.24,6.0,0.0,1.0,-0.9476837171802774,0.0,-0.75,0.10227272727272727,0.8977272727272727,0.6364132112827852,0.18948412698412698,0.005097635999409413,0.33470113920096695,0,1342541859,0.45,reverse
repaired_memory_bon,64,-0.614905255884809,5.985145431420341,0.014854568579658611,-1.21,7.0,1.0,1.0,0.5950947441151909,0.0,-0.875,0.13636363636363635,0.8636363636363636,0.5940758390512116,0.24503968253968253,0.006338734717065122,0.4333896525612782,0,1343020563,0.45,reverse
base_bon,1,-7.210470308473129,-1.0004703084731286,7.000470308473129,-7.21,-1.0,7.0,0.0,-0.00047030847312878876,0.0,0.125,0.0,,0.0,0.0,0.0,0.0,1,1926761938,0.45,reverse
base_bon,4,-0.18282185083876829,6.002821850838768,0.0028218508387682917,-0.18,6.0,0.0,1.0,-0.0028218508387682917,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,1,1926791857,0.45,reverse
base_bon,16,-1.1476484576343595,5.00235154236564,0.9976484576343596,-1.15,5.0,1.0,1.0,0.002351542365640391,0.0,-0.625,0.0,,0.0,0.0,0.0,0.0,1,1926911533,0.45,reverse
base_bon,64,-0.24282185083876828,6.002821850838768,0.0028218508387682917,-0.24,6.0,0.0,1.0,-0.0028218508387682917,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,1,1927390237,0.45,reverse
memory_bon,1,-5.818071663860431,0.3919283361395689,5.608071663860431,-7.21,-1.0,7.0,0.0,1.3919283361395687,0.0,0.125,0.3888888888888889,0.6111111111111112,0.86,0.5555555555555556,0.025989109750382572,1.2563137614490354,1,1926761938,0.45,reverse
memory_bon,4,-5.1080553990090545,1.071944600990945,4.928055399009055,-0.18,6.0,0.0,1.0,-4.928055399009055,0.0,-0.75,0.40277777777777773,0.5972222222222223,0.86,0.5277777777777778,0.013440414849082111,1.091840533744541,1,1926791857,0.45,reverse
memory_bon,16,-1.3687169530307255,4.8412830469692745,1.1587169530307255,-1.21,5.0,1.0,1.0,-0.15871695303072553,0.0,-0.625,0.3194444444444444,0.6805555555555555,0.86,0.48611111111111116,0.02063816893579469,1.053213582785092,1,1926911533,0.45,reverse
