stale_fraction,label,strategy,true_return,proxy_score,proxy_true_gap,hallucinated_rollout,retrieval_precision,retrieval_stale_rate,diagnostic_risk
0.45,non-memory,base_bon,-0.1866666666666666,-0.1997109989830688,-0.0130443323164022,0.0,,0.0,0.0
0.45,naive memory,memory_bon,-2.1527777777777777,-3.6287502457443535,-1.4759724679665756,0.0,0.5694444444444444,0.4305555555555556,1.4650513878822506
0.45,oracle memory,oracle_memory_bon,-1.4994444444444446,-0.5704942543885513,0.9289501900558932,0.0,1.0,0.0,0.0642728597670091
0.45,repaired memory,repaired_memory_bon,-1.1022222222222222,-0.8913808470758054,0.2108413751464167,0.0,0.831439393939394,0.168560606060606,0.5171685097592915
0.65,non-memory,base_bon,-0.1866666666666666,-0.2003914358587831,-0.0137247691921164,0.0,,0.0,0.0
0.65,naive memory,memory_bon,-10.711666666666666,-4.324230619593418,6.387436047073248,0.0,0.349537037037037,0.650462962962963,1.5659320456628842
0.65,oracle memory,oracle_memory_bon,-1.6105555555555555,-1.0278371434255242,0.5827184121300315,0.0,1.0,0.0,0.0689537308282214
0.65,repaired memory,repaired_memory_bon,-1.2738888888888888,-1.189140397867801,0.0847484910210878,0.0,0.7266414141414141,0.2733585858585858,0.7441872994451875
0.85,non-memory,base_bon,-0.18,-0.197814068730642,-0.017814068730642,0.0,,0.0,0.0
0.85,naive memory,memory_bon,-13.334444444444443,-2.590954446303383,10.743489998141062,0.0555555555555555,0.1566358024691357,0.8433641975308642,1.2852382754972649
0.85,oracle memory,oracle_memory_bon,-1.7283333333333335,-1.6113817616401231,0.1169515716932103,0.0,1.0,0.0,0.0979043463032451
0.85,repaired memory,repaired_memory_bon,-1.8966666666666667,-2.135304480538893,-0.2386378138722263,0.0,0.5088383838383839,0.4911616161616161,1.0837887956896364
0.93,non-memory,base_bon,-0.18,-0.2082294857404236,-0.0282294857404236,0.0,,0.0,0.0
0.93,naive memory,memory_bon,-13.57,-1.9734767372468087,11.596523262753191,0.4444444444444444,0.0625,0.9375,1.171261256557436
0.93,oracle memory,oracle_memory_bon,-2.344444444444445,-1.7137885541149718,0.6306558903294728,0.0555555555555555,1.0,0.0,0.157918684689988
0.93,repaired memory,repaired_memory_bon,-2.0683333333333334,-3.2314146545175846,-1.1630813211842514,0.0,0.3238636363636363,0.6761363636363636,1.2230371281694057
