strategy,N,selected_true_return,selected_proxy_score,selected_risk,selected_precision,selected_stale_rate,benchmark,seed
recent_only,1,15.283009019799811,24.80967013320434,0.025722820437786984,0.9886904761904763,0.011309523809523806,CartPole-v1,17
recent_only,4,20.194737452441125,25.473483040130116,0.01644304036918768,0.9958798363095238,0.004120163690476186,CartPole-v1,17
recent_only,16,24.030526822136554,25.933664079687343,0.012214643804324651,0.9999328655539198,6.713444608017219e-05,CartPole-v1,17
recent_only,64,25.649395387297126,26.03444045741277,0.012110289104288009,0.9999999999997314,2.6856228594501013e-13,CartPole-v1,17
naive_memory,1,15.283009019799813,27.542720894437313,0.7138255929654244,0.3437500000000001,0.65625,CartPole-v1,17
naive_memory,4,19.458403541092178,28.780472228441027,0.7375649538697856,0.31947008566881613,0.6805299143311838,CartPole-v1,17
naive_memory,16,23.748917528917644,29.029887565094505,0.761901666819992,0.2941192923632623,0.7058807076367376,CartPole-v1,17
naive_memory,64,25.645389987999497,29.04634410086138,0.758887504726221,0.29862502959786075,0.7013749704021391,CartPole-v1,17
repaired_memory,1,15.283009019799811,24.681056031015405,0.025722820437786988,0.9886904761904763,0.011309523809523811,CartPole-v1,17
repaired_memory,4,20.19598638184858,25.395748680741747,0.014870828482503507,0.9973024829144621,0.0026975170855379196,CartPole-v1,17
repaired_memory,16,24.03055732219092,25.87279513846613,0.012148630300668303,0.9999917754434856,8.224556514458141e-06,CartPole-v1,17
repaired_memory,64,25.649395387297137,25.97388901189238,0.0121102891039815,1.0,5.219420240259911e-17,CartPole-v1,17
oracle_memory,1,15.28300901979981,24.89413357096565,0.012544151054737345,1.0000000000000002,0.0,CartPole-v1,17
oracle_memory,4,19.57685247530465,25.542386092210663,0.011457556396130258,1.0,0.0,CartPole-v1,17
oracle_memory,16,23.815511378212168,25.943210251624404,0.012018549803843589,1.0,0.0,CartPole-v1,17
oracle_memory,64,25.64937686869791,26.03444126244829,0.012110256989239686,1.0,0.0,CartPole-v1,17
recent_only,1,14.337188383620502,24.713196449972138,0.019206219437793014,0.992559523809524,0.007440476190476192,CartPole-v1,29
recent_only,4,15.038715501230497,25.423794179489843,0.0244798662329031,0.9888101137083886,0.01118988629161155,CartPole-v1,29
recent_only,16,15.360507473623123,25.800245468397414,0.0203844350272776,0.9919740399006212,0.00802596009937891,CartPole-v1,29
recent_only,64,13.829593424703512,26.02046938276583,0.010825381473854255,0.9998637496853728,0.0001362503146271898,CartPole-v1,29
