benchmark,seed,candidate_id,true_return,terminated_at,final_state_norm,recent_only_proxy,recent_only_risk,recent_only_precision,recent_only_stale,recent_only_dropout,recent_only_spread,naive_memory_proxy,naive_memory_risk,naive_memory_precision,naive_memory_stale,naive_memory_dropout,naive_memory_spread,repaired_memory_proxy,repaired_memory_risk,repaired_memory_precision,repaired_memory_stale,repaired_memory_dropout,repaired_memory_spread,oracle_memory_proxy,oracle_memory_risk,oracle_memory_precision,oracle_memory_stale,oracle_memory_dropout,oracle_memory_spread
CartPole-v1,17,0,11.44385395699287,9.0,3.2813836450598353,24.633225349326203,0.010597586929048153,1.0,0.0,5.226050173663235e-06,0.02345728561701966,25.31587351867525,0.7321757856120517,0.32142857142857145,0.6785714285714285,0.00012048816561283889,0.11697878159048987,24.580237414680962,0.010597586929048153,1.0,0.0,5.226050173663235e-06,0.02345728561701966,24.633225349326203,0.010597586929048153,1.0,0.0,5.226050173663235e-06,0.02345728561701966
CartPole-v1,17,1,11.538371475945358,9.0,3.316535818270905,24.43842395129521,0.015212421363902042,1.0,0.0,1.1400111317061864e-05,0.03360271216303455,28.516234040462855,0.7025771972825704,0.3571428571428571,0.6428571428571427,0.00014826366678670375,0.13007543353585305,24.3623618444757,0.015212421363902042,1.0,0.0,1.1400111317061864e-05,0.03360271216303455,24.43842395129521,0.015212421363902042,1.0,0.0,1.1400111317061864e-05,0.03360271216303455
CartPole-v1,17,2,25.70900447040858,20.0,0.7228469880883724,25.825260245728288,0.012356328135318818,1.0,0.0,8.43257572774081e-06,0.027308594509993095,28.432881581395108,0.7227996530766486,0.3357142857142857,0.6642857142857143,0.00015110658652877637,0.1273446357748979,25.763478605051695,0.012356328135318818,1.0,0.0,8.43257572774081e-06,0.027308594509993095,25.825260245728288,0.012356328135318818,1.0,0.0,8.43257572774081e-06,0.027308594509993095
CartPole-v1,17,3,19.452624890457166,18.0,0.44419993543557984,25.13170865094647,0.010377368762358351,1.0,0.0,5.3579471939685665e-06,0.022965567077348006,28.920532081595148,0.7692646340106556,0.2857142857142857,0.7142857142857142,0.0001407573697586316,0.11967302392638302,25.079821807134678,0.010377368762358351,1.0,0.0,5.3579471939685665e-06,0.022965567077348006,25.13170865094647,0.010377368762358351,1.0,0.0,5.3579471939685665e-06,0.022965567077348006
CartPole-v1,17,4,11.44385395699287,9.0,3.2813836450598353,24.63797682634928,0.010613654249947948,1.0,0.0,5.115555212762891e-06,0.02349495512943521,25.25325976258206,0.7394114824501086,0.31428571428571433,0.6857142857142856,0.00011937104149530469,0.11720495200857846,24.584908555099542,0.010613654249947948,1.0,0.0,5.115555212762891e-06,0.02349495512943521,24.63797682634928,0.010613654249947948,1.0,0.0,5.115555212762891e-06,0.02349495512943521
CartPole-v1,17,5,11.44385395699287,9.0,3.2813836450598353,24.861865944650013,0.010310140862938492,1.0,0.0,4.730679873537343e-06,0.022827323164333762,25.082819660566997,0.7389983428678284,0.31428571428571433,0.6857142857142856,0.00011613958885392471,0.116344312094914,24.81031524033532,0.010310140862938492,1.0,0.0,4.730679873537343e-06,0.022827323164333762,24.861865944650013,0.010310140862938492,1.0,0.0,4.730679873537343e-06,0.022827323164333762
CartPole-v1,17,6,11.538371475945358,9.0,3.316535818270905,24.048873304840427,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,26.726819691022317,0.6348121549160247,0.42857142857142866,0.5714285714285714,0.00014563322212496444,0.13826337268989702,23.733915988145224,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,24.287454579000517,0.013111355700619675,1.0,0.0,8.28129969918398e-06,0.028989122895613784
CartPole-v1,17,7,11.538371475945358,9.0,3.316535818270905,24.048873304840427,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,26.726819691022317,0.6348121549160247,0.42857142857142866,0.5714285714285714,0.00014563322212496444,0.13826337268989702,23.733915988145224,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,24.287454579000517,0.013111355700619675,1.0,0.0,8.28129969918398e-06,0.028989122895613784
CartPole-v1,17,8,11.44385395699287,9.0,3.2813836450598353,24.951328210132516,0.06745007505367624,0.95,0.04999999999999999,2.6902018479202232e-05,0.03829968645742805,25.196400202741255,0.7848307254875475,0.26428571428571423,0.7357142857142855,0.00010546508368337493,0.10727270911954365,24.614077834864133,0.06745007505367624,0.95,0.04999999999999999,2.6902018479202232e-05,0.03829968645742805,25.487726914947988,0.009066257733922426,1.0,0.0,3.579254485108654e-06,0.02008360821787012
CartPole-v1,17,9,11.538371475945358,9.0,3.316535818270905,24.048873304840427,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,26.726819691022317,0.6348121549160247,0.42857142857142866,0.5714285714285714,0.00014563322212496444,0.13826337268989702,23.733915988145224,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,24.287454579000517,0.013111355700619675,1.0,0.0,8.28129969918398e-06,0.028989122895613784
CartPole-v1,17,10,22.785941627160206,20.0,0.43532148541789967,25.118964114959155,0.010434727097821277,1.0,0.0,5.7146583072658525e-06,0.023086688514140332,29.014391183147882,0.7475583790649847,0.30714285714285705,0.6928571428571428,0.00013372278662566694,0.11918100869963688,25.06679047947005,0.010434727097821277,1.0,0.0,5.7146583072658525e-06,0.023086688514140332,25.118964114959155,0.010434727097821277,1.0,0.0,5.7146583072658525e-06,0.023086688514140332
CartPole-v1,17,11,11.538371475945358,9.0,3.316535818270905,24.323403311731596,0.015812047631375455,1.0,0.0,1.2306933513414451e-05,0.03491909369615142,28.676602023106163,0.6886218554509039,0.3714285714285714,0.6285714285714284,0.0001447439256650844,0.13087216772034374,24.24434307357472,0.015812047631375455,1.0,0.0,1.2306933513414451e-05,0.03491909369615142,24.323403311731596,0.015812047631375455,1.0,0.0,1.2306933513414451e-05,0.03491909369615142
CartPole-v1,17,12,13.378266787742987,11.0,0.6810210583420211,25.40378386958612,0.012918366344496862,1.0,0.0,9.374503793539479e-06,0.028540822920330094,27.924099509964545,0.7350932486497497,0.3214285714285715,0.6785714285714286,0.0001479722937573732,0.12297342606280462,25.339192037863636,0.012918366344496862,1.0,0.0,9.374503793539479e-06,0.028540822920330094,25.40378386958612,0.012918366344496862,1.0,0.0,9.374503793539479e-06,0.028540822920330094
CartPole-v1,17,13,21.096421403986923,20.0,4.140827558755644,26.032183653767216,0.012364639789002903,1.0,0.0,7.699548435832317e-06,0.027340096447813877,27.834419171376236,0.6907024120134361,0.3642857142857143,0.6357142857142856,0.0001272043138342959,0.11993442619661303,25.970360454822202,0.012364639789002903,1.0,0.0,7.699548435832317e-06,0.027340096447813877,26.032183653767216,0.012364639789002903,1.0,0.0,7.699548435832317e-06,0.027340096447813877
CartPole-v1,17,14,11.538371475945358,9.0,3.316535818270905,24.43842395129521,0.015212421363902042,1.0,0.0,1.1400111317061864e-05,0.03360271216303455,28.516234040462855,0.7025771972825704,0.3571428571428571,0.6428571428571427,0.00014826366678670375,0.13007543353585305,24.3623618444757,0.015212421363902042,1.0,0.0,1.1400111317061864e-05,0.03360271216303455,24.43842395129521,0.015212421363902042,1.0,0.0,1.1400111317061864e-05,0.03360271216303455
CartPole-v1,17,15,21.125921005204358,20.0,1.0219714334800198,25.0581713817628,0.010243846112582455,1.0,0.0,5.150709701319473e-06,0.022672534299937562,29.041479603244362,0.7768897666427053,0.2785714285714286,0.7214285714285713,0.0001437675128419404,0.1206912335808851,25.00695215119989,0.010243846112582455,1.0,0.0,5.150709701319473e-06,0.022672534299937562,25.0581713817628,0.010243846112582455,1.0,0.0,5.150709701319473e-06,0.022672534299937562
CartPole-v1,17,16,11.538371475945358,9.0,3.316535818270905,24.048873304840427,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,26.726819691022317,0.6348121549160247,0.42857142857142866,0.5714285714285714,0.00014563322212496444,0.13826337268989702,23.733915988145224,0.06299146333904057,0.9571428571428573,0.04285714285714285,2.801650395021757e-05,0.044244863222879946,24.287454579000517,0.013111355700619675,1.0,0.0,8.28129969918398e-06,0.028989122895613784
