benchmark,seed,candidate_id,start_state,true_return,recent_only_proxy,naive_memory_proxy,repaired_memory_proxy,oracle_memory_proxy,risk,entropy,catastrophe,illegal
FrozenLake-v1,11,0,0,0.007142940397070113,0.007142940397070113,7.7610961983779205,2.8946166474228314,0.007142940397070113,0.7892102685025784,0.5294927511620192,0.7892102685025784,0.0
FrozenLake-v1,11,1,0,0.015918503120288342,0.015918503120288342,7.758902307697116,2.7973802291627488,0.015918503120288342,0.8162849430037421,0.4926184853467782,0.8162849430037421,0.0
FrozenLake-v1,11,2,0,0.023781823381096013,0.023781823381096013,7.756936477631914,2.7699236161124627,0.023781823381096013,0.8244039324416842,0.47588733634183655,0.8244039324416842,0.0
FrozenLake-v1,11,3,0,0.018165305241585408,0.018165305241585408,7.758340607166792,2.877535081567768,0.018165305241585408,0.7932591042865265,0.532446826892922,0.7932591042865265,0.0
FrozenLake-v1,11,4,0,0.01870579197498442,0.01870579197498442,7.758205485483442,2.9490118812072406,0.01870579197498442,0.7708808431819637,0.5925676428221832,0.7708808431819637,0.0
FrozenLake-v1,11,5,0,0.01172225848357755,0.01172225848357755,7.631141265001293,2.7961633639513814,0.01172225848357755,0.7857428698026641,0.5604087351190415,0.7857428698026641,0.0
FrozenLake-v1,11,6,0,0.017236376848079007,0.017236376848079007,7.7585728392651685,2.789170693727984,0.017236376848079007,0.8192977374003135,0.4798130115083756,0.8192977374003135,0.0
FrozenLake-v1,11,7,0,0.013703823256929312,0.013703823256929312,7.759455977662956,2.796214737362003,0.013703823256929312,0.8162744482782076,0.49664338768972305,0.8162744482782076,0.0
FrozenLake-v1,11,8,0,0.01400057814674841,0.01400057814674841,7.759381788940501,2.9146681237361696,0.01400057814674841,0.7816252837214754,0.5637876271989299,0.7816252837214754,0.0
FrozenLake-v1,11,9,0,0.0186195283763909,0.0186195283763909,7.75822705138309,2.860907080685676,0.0186195283763909,0.7965434092426871,0.5440827637510881,0.7965434092426871,0.0
FrozenLake-v1,11,10,0,0.018476633217185956,0.018476633217185956,7.758262775172891,2.783308162590381,0.018476633217185956,0.8204026638942342,0.4846224287147755,0.8204026638942342,0.0
FrozenLake-v1,11,11,0,0.02171750882233644,0.02171750882233644,7.757452556271604,2.770439800535417,0.02171750882233644,0.8240965487427263,0.47826517091809334,0.8240965487427263,0.0
FrozenLake-v1,11,12,0,0.024504364782695295,0.024504364782695295,7.756755842281514,2.7907046032653975,0.024504364782695295,0.8190213555973695,0.4783850704229165,0.8190213555973695,0.0
FrozenLake-v1,11,13,0,0.016796247882333307,0.016796247882333307,2.53831190981208,-1.3852476232186035,0.016796247882333307,0.8171755266835158,0.501847646368903,0.8171755266835158,0.0
FrozenLake-v1,11,14,0,0.018427196102915856,0.018427196102915856,7.758275134451459,2.7975900171545445,0.018427196102915856,0.8167562682068737,0.4856348559990369,0.8167562682068737,0.0
FrozenLake-v1,11,15,0,0.02258123282378579,0.02258123282378579,7.757236625271242,2.7720774322084916,0.02258123282378579,0.8236006271300292,0.4794186868438063,0.8236006271300292,0.0
FrozenLake-v1,11,16,0,0.010552945567925328,0.010552945567925328,7.7602436970852064,2.8217367895995205,0.010552945567925328,0.8104524756922665,0.4891961813772125,0.8104524756922665,0.0
FrozenLake-v1,11,17,0,0.02544741639505739,0.02544741639505739,7.756520079378424,2.765792179481587,0.02544741639505739,0.825839553158008,0.47051718222710415,0.825839553158008,0.0
FrozenLake-v1,11,18,0,0.015877451415111304,0.015877451415111304,7.75891257062341,2.7911140218673856,0.015877451415111304,0.8184595713679923,0.48451079814131953,0.8184595713679923,0.0
FrozenLake-v1,11,19,0,0.013736233783041603,0.013736233783041603,7.7594478750314275,2.7927564763165393,0.013736233783041603,0.8170217626768289,0.49820673252631864,0.8170217626768289,0.0
FrozenLake-v1,11,20,0,0.015453023397830782,0.015453023397830782,7.75901867762773,2.7807407291960597,0.015453023397830782,0.8205706737148629,0.490940409087464,0.8205706737148629,0.0
FrozenLake-v1,11,21,0,0.010489657538728185,0.010489657538728185,7.760259519092506,2.8251689422544417,0.010489657538728185,0.8079138159887853,0.5116044685738914,0.8079138159887853,0.0
FrozenLake-v1,11,22,0,0.015095535191654312,0.015095535191654312,2.5387370879847495,-1.3421932907572605,0.015095535191654312,0.8054925417617986,0.5141063371206551,0.8054925417617986,0.0
FrozenLake-v1,11,23,0,0.015119631747265576,0.015119631747265576,7.630291921685371,2.794687466256187,0.015119631747265576,0.7864405342483056,0.556026201494469,0.7864405342483056,0.0
FrozenLake-v1,11,24,0,0.009565603899892063,0.009565603899892063,7.506734627907864,2.63633227216372,0.009565603899892063,0.8040485390569624,0.5159146490490016,0.8040485390569624,0.0
FrozenLake-v1,11,25,0,0.014196233832315098,0.014196233832315098,7.630522771164109,2.684373592858191,0.014196233832315098,0.81918098636537,0.48719975126026405,0.81918098636537,0.0
FrozenLake-v1,11,26,0,0.013212850672762563,0.013212850672762563,7.759578720808998,2.7953972584299116,0.013212850672762563,0.816851617613835,0.49167272632166437,0.816851617613835,0.0
FrozenLake-v1,11,27,0,0.014634767959076967,0.014634767959076967,7.505467336893068,2.6169825318093642,0.014634767959076967,0.8094780425516422,0.508020403634456,0.8094780425516422,0.0
FrozenLake-v1,11,28,0,0.016512361631252977,0.016512361631252977,7.758753843069375,2.7790100451839694,0.016512361631252977,0.8213256392381242,0.4866431488176151,0.8213256392381242,0.0
FrozenLake-v1,11,29,0,0.024875000833477677,0.024875000833477677,7.756663183268818,2.8644757027418177,0.024875000833477677,0.7966045323132277,0.5313723826234071,0.7966045323132277,0.0
FrozenLake-v1,11,30,0,0.022287507801247695,0.022287507801247695,7.757310056526876,2.782933039967751,0.022287507801247695,0.8206379595581167,0.48273556193844125,0.8206379595581167,0.0
FrozenLake-v1,11,31,0,0.008929294933070401,0.008929294933070401,7.76064960974392,2.8199347463851305,0.008929294933070401,0.8094224472547868,0.5089367045915751,0.8094224472547868,0.0
FrozenLake-v1,11,32,0,0.018756930388500043,0.018756930388500043,7.758192700880063,2.7968954729424866,0.018756930388500043,0.8170933577766466,0.483455475775591,0.8170933577766466,0.0
FrozenLake-v1,11,33,0,0.022389120490773084,0.022389120490773084,7.757284653354494,2.780010852345167,0.022389120490773084,0.821576728491751,0.4799592682319316,0.821576728491751,0.0
FrozenLake-v1,11,34,0,0.02394062012399228,0.02394062012399228,7.75689677844619,2.775340360233362,0.02394062012399228,0.822817027674296,0.4789902528373475,0.822817027674296,0.0
FrozenLake-v1,11,35,0,0.017903997522684418,0.017903997522684418,7.758405934096517,2.7812079139085197,0.017903997522684418,0.8209651688195463,0.4841231919834857,0.8209651688195463,0.0
FrozenLake-v1,11,36,0,0.024072524770985326,0.024072524770985326,7.756863802284442,2.7739911356419356,0.024072524770985326,0.8231832104809113,0.4786052307205658,0.8231832104809113,0.0
FrozenLake-v1,11,37,0,0.008501060961480343,0.008501060961480343,7.760756668236818,2.8247711359596535,0.008501060961480343,0.8091559692763918,0.4963684457217664,0.8091559692763918,0.0
FrozenLake-v1,11,38,0,0.011436276058696257,0.011436276058696257,2.259204958369814,-1.5031196126395077,0.011436276058696257,0.7864971777869094,0.5559404113315352,0.7864971777869094,0.0
FrozenLake-v1,11,39,0,0.01356118001993344,0.01356118001993344,7.759491638472205,2.851580032673905,0.01356118001993344,0.8008374274196626,0.5179193480973168,0.8008374274196626,0.0
