strategy,N,selected_true_return,selected_proxy_score,selected_risk,selected_entropy,benchmark,seed
recent_only,1,0.01823480680420982,0.01823480680420982,0.8101408959939009,0.5028757297118894,FrozenLake-v1,11
recent_only,4,0.023386605595831316,0.023386605595831316,0.8186934383809171,0.48569628322501696,FrozenLake-v1,11
recent_only,16,0.025205414803912043,0.025205414803912043,0.8182022856106193,0.4857938882643331,FrozenLake-v1,11
recent_only,64,0.026087847770041122,0.026087847770041122,0.8160970083639958,0.4892758644533437,FrozenLake-v1,11
naive_memory,1,0.018234806804209816,7.1819425370272665,0.8101408959939009,0.5028757297118893,FrozenLake-v1,11
naive_memory,4,0.014469181790311775,7.758492683855844,0.8056818516978218,0.508918740412158,FrozenLake-v1,11
naive_memory,16,0.010298843444429986,7.760307222615979,0.79291111433134,0.52904714643325,FrozenLake-v1,11
naive_memory,64,0.008096466369086215,7.760857816884917,0.7824766751469201,0.5437076443487995,FrozenLake-v1,11
repaired_memory,1,0.018234806804209816,2.3577746880934844,0.8101408959939009,0.5028757297118893,FrozenLake-v1,11
repaired_memory,4,0.015752248845832196,2.8522081507547234,0.7985765933254048,0.5229720214182773,FrozenLake-v1,11
repaired_memory,16,0.013771572773713773,2.925170540490661,0.7786148034506982,0.55901212226111,FrozenLake-v1,11
repaired_memory,64,0.01081647749913953,3.0073434940792474,0.7569553680510122,0.5837260652586825,FrozenLake-v1,11
oracle_memory,1,0.01823480680420982,0.01823480680420982,0.8101408959939009,0.5028757297118894,FrozenLake-v1,11
oracle_memory,4,0.023386605595831316,0.023386605595831316,0.8186934383809171,0.48569628322501696,FrozenLake-v1,11
oracle_memory,16,0.025205414803912043,0.025205414803912043,0.8182022856106193,0.4857938882643331,FrozenLake-v1,11
oracle_memory,64,0.026087847770041122,0.026087847770041122,0.8160970083639958,0.4892758644533437,FrozenLake-v1,11
recent_only,1,0.016992221493950008,0.016992221493950008,0.8071277431738125,0.5093408938328612,FrozenLake-v1,17
recent_only,4,0.021840630717244812,0.021840630717244812,0.8175745950608843,0.48823191441539987,FrozenLake-v1,17
recent_only,16,0.024658573621105837,0.024658573621105837,0.820289905518135,0.48116149397925323,FrozenLake-v1,17
recent_only,64,0.026806258746573938,0.026806258746573938,0.8176730142000541,0.48515576956056816,FrozenLake-v1,17
naive_memory,1,0.016992221493950008,7.084579790454494,0.8071277431738125,0.5093408938328613,FrozenLake-v1,17
naive_memory,4,0.014206572803564351,7.757744256183121,0.8036019339783836,0.5132458891325082,FrozenLake-v1,17
naive_memory,16,0.010003633868067867,7.7603810249969545,0.787052756705258,0.5388969673961841,FrozenLake-v1,17
naive_memory,64,0.007479679368225611,7.761012013635133,0.7777057149344448,0.5479418178672977,FrozenLake-v1,17
repaired_memory,1,0.016992221493950004,2.289749035817276,0.8071277431738125,0.5093408938328613,FrozenLake-v1,17
repaired_memory,4,0.015061833688900418,2.855257459925453,0.7975373270521139,0.5245002295263548,FrozenLake-v1,17
repaired_memory,16,0.011636004691271108,2.9267265192429512,0.778016238709507,0.5591610502137492,FrozenLake-v1,17
repaired_memory,64,0.008958169883510758,2.9885152197451337,0.7613446152564687,0.5874992358043769,FrozenLake-v1,17
oracle_memory,1,0.016992221493950008,0.016992221493950008,0.8071277431738125,0.5093408938328612,FrozenLake-v1,17
oracle_memory,4,0.021840630717244812,0.021840630717244812,0.8175745950608843,0.48823191441539987,FrozenLake-v1,17
oracle_memory,16,0.024658573621105837,0.024658573621105837,0.820289905518135,0.48116149397925323,FrozenLake-v1,17
oracle_memory,64,0.026806258746573938,0.026806258746573938,0.8176730142000541,0.48515576956056816,FrozenLake-v1,17
recent_only,1,0.017682902146710554,0.017682902146710554,0.8097513806219004,0.5036738011007149,FrozenLake-v1,23
recent_only,4,0.022967162819587463,0.022967162819587463,0.8204693206437272,0.4803601057565455,FrozenLake-v1,23
recent_only,16,0.02558514489561262,0.02558514489561262,0.8228884321749236,0.4741065129836789,FrozenLake-v1,23
recent_only,64,0.027117143441961245,0.027117143441961245,0.8231814210621236,0.47084493496756213,FrozenLake-v1,23
naive_memory,1,0.017682902146710554,7.121086056204335,0.8097513806219004,0.5036738011007149,FrozenLake-v1,23
naive_memory,4,0.014560944174395258,7.758084169805826,0.8078451490700991,0.5065103576012756,FrozenLake-v1,23
naive_memory,16,0.01052436700766613,7.760250841724756,0.7969739648881089,0.5241541696097236,FrozenLake-v1,23
naive_memory,64,0.007063323116475059,7.76111610269807,0.7769063052238585,0.5548008508181439,FrozenLake-v1,23
repaired_memory,1,0.017682902146710554,2.310297762574994,0.8097513806219004,0.5036738011007149,FrozenLake-v1,23
repaired_memory,4,0.01563524299570251,2.839290916724413,0.8031877880147276,0.5133681225095796,FrozenLake-v1,23
repaired_memory,16,0.012790907813280633,2.897781751387594,0.7866067531444609,0.544362889936497,FrozenLake-v1,23
repaired_memory,64,0.009288737600428653,2.9559702119004507,0.7708064875566075,0.5698282288819856,FrozenLake-v1,23
oracle_memory,1,0.017682902146710554,0.017682902146710554,0.8097513806219004,0.5036738011007149,FrozenLake-v1,23
oracle_memory,4,0.022967162819587463,0.022967162819587463,0.8204693206437272,0.4803601057565455,FrozenLake-v1,23
oracle_memory,16,0.02558514489561262,0.02558514489561262,0.8228884321749236,0.4741065129836789,FrozenLake-v1,23
oracle_memory,64,0.027117143441961245,0.027117143441961245,0.8231814210621236,0.47084493496756213,FrozenLake-v1,23
recent_only,1,0.01722219825359561,0.01722219825359561,0.8068537212618219,0.5089009317732582,FrozenLake-v1,29
recent_only,4,0.02242940624650304,0.02242940624650304,0.8156530757791638,0.4915013388242432,FrozenLake-v1,29
recent_only,16,0.025067632173662254,0.025067632173662254,0.8167141318440628,0.488278829485607,FrozenLake-v1,29
recent_only,64,0.026405170045711177,0.026405170045711177,0.8153412127554768,0.4891593526794303,FrozenLake-v1,29
naive_memory,1,0.01722219825359561,7.119851213312306,0.8068537212618219,0.5089009317732582,FrozenLake-v1,29
naive_memory,4,0.014852584571905442,7.757798834655619,0.8084483969438098,0.5066829092654063,FrozenLake-v1,29
naive_memory,16,0.011527472255325941,7.760000065400149,0.804452149410475,0.5134670234271802,FrozenLake-v1,29
