strategy,n,proxy_score,predicted_final,predicted_final_error,true_return,true_final,true_final_error,true_success,proxy_true_gap,hallucinated_rollout,mean_selected_action,retrieval_stale_rate,retrieval_precision,memory_gate,retrieval_disagreement,dropout_variance,diagnostic_risk,trial,seed,stale_fraction,regime
base_bon,1,-12.225475940408291,-6.045475940408292,12.045475940408291,-12.18,-6.0,12.0,0.0,-0.04547594040829139,0.0,0.75,0.0,,0.0,0.0,0.0,0.0,0,1342392264,0.85,reverse
base_bon,4,-1.2630552638096741,7.053055263809674,1.0530552638096742,-1.21,7.0,1.0,1.0,-0.05305526380967418,0.0,-0.875,0.0,,0.0,0.0,0.0,0.0,0,1342422183,0.85,reverse
base_bon,16,-0.22547594040829227,6.045475940408292,0.04547594040829228,-0.18,6.0,0.0,1.0,-0.04547594040829228,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,0,1342541859,0.85,reverse
base_bon,64,-0.22547594040829227,6.045475940408292,0.04547594040829228,-0.18,6.0,0.0,1.0,-0.04547594040829228,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,0,1343020563,0.85,reverse
memory_bon,1,-3.2713704537929837,2.9086295462070164,3.0913704537929836,-12.18,-6.0,12.0,0.0,8.908629546207017,0.0,0.75,0.8055555555555555,0.19444444444444442,0.86,0.3277777777777778,0.009849560529840495,1.2515280596914193,0,1342392264,0.85,reverse
memory_bon,4,-3.915235533890513,2.3247644661094866,3.6752355338905134,-14.24,-8.0,14.0,0.0,10.324764466109487,0.0,1.0,0.8055555555555556,0.19444444444444445,0.86,0.3958333333333333,0.044144301661960865,1.60526255014178,0,1342422183,0.85,reverse
memory_bon,16,-3.0681289782622625,3.1418710217377375,2.8581289782622625,-13.21,-7.0,13.0,0.0,10.141871021737739,0.0,0.875,0.8055555555555556,0.19444444444444445,0.86,0.33333333333333337,0.013209217840523993,1.2973995029751768,0,1342541859,0.85,reverse
memory_bon,64,-3.0413357504680714,3.1686642495319286,2.8313357504680714,-13.21,-7.0,13.0,0.0,10.168664249531929,0.0,0.875,0.7916666666666665,0.20833333333333331,0.86,0.3333333333333333,0.012660309412727375,1.2769237129527284,0,1343020563,0.85,reverse
oracle_memory_bon,1,-11.080016774383076,-4.900016774383077,10.900016774383076,-12.18,-6.0,12.0,0.0,1.0999832256169242,0.0,0.75,0.0,1.0,0.86,0.0,0.0049165521020164615,0.05899862522419755,0,1342392264,0.85,reverse
oracle_memory_bon,4,-2.547485362556093,3.662514637443907,2.337485362556093,-1.21,7.0,1.0,1.0,-1.3374853625560932,0.0,-0.875,0.0,1.0,0.86,0.0,0.008462549619125386,0.10155059542950462,0,1342422183,0.85,reverse
oracle_memory_bon,16,-2.387947546767875,3.8520524532321248,2.1479475467678752,-2.24,8.0,2.0,0.0,-0.1479475467678748,0.0,-1.0,0.0,1.0,0.86,0.0,0.008767274891495327,0.1052072986979439,0,1342541859,0.85,reverse
oracle_memory_bon,64,-2.3724424547382057,3.8375575452617943,2.1624424547382057,-1.21,7.0,1.0,1.0,-1.1624424547382057,0.0,-0.875,0.0,1.0,0.86,0.0,0.0070819579268477486,0.08498349512217299,0,1343020563,0.85,reverse
repaired_memory_bon,1,-11.194420185484772,-4.2507848871555876,10.250784887155588,-12.18,-6.0,12.0,0.0,0.9855798145152281,0.0,0.75,0.4545454545454546,0.5454545454545454,0.4160005077964225,0.332936507936508,0.007924441322765534,0.8484836648102039,0,1342392264,0.85,reverse
repaired_memory_bon,4,-3.1056800691155617,4.166900710932328,1.8330992890676718,-1.21,7.0,1.0,1.0,-1.8956800691155617,0.0,-0.875,0.4431818181818182,0.5568181818181819,0.2765688849173366,0.5516865079365079,0.01918071151689088,1.1806453111643223,0,1342422183,0.85,reverse
repaired_memory_bon,16,-2.77011791240392,4.5993816271676575,1.4006183728323425,-2.24,8.0,2.0,0.0,-0.5301179124039197,0.0,-1.0,0.5113636363636364,0.48863636363636365,0.24467094287771232,0.5829365079365079,0.01772427287879969,1.2549994884128637,0,1342541859,0.85,reverse
repaired_memory_bon,64,-2.77011791240392,4.5993816271676575,1.4006183728323425,-2.24,8.0,2.0,0.0,-0.5301179124039197,0.0,-1.0,0.5113636363636364,0.48863636363636365,0.24467094287771232,0.5829365079365079,0.01772427287879969,1.2549994884128637,0,1343020563,0.85,reverse
base_bon,1,-7.2005746832178295,-0.9905746832178292,6.9905746832178295,-7.21,-1.0,7.0,0.0,0.009425316782170512,0.0,0.125,0.0,,0.0,0.0,0.0,0.0,1,1926761938,0.85,reverse
base_bon,4,-0.23655190069302395,5.943448099306976,0.05655190069302396,-0.18,6.0,0.0,1.0,-0.05655190069302396,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,1,1926791857,0.85,reverse
base_bon,16,-1.1971265839108534,4.9528734160891466,1.0471265839108534,-1.15,5.0,1.0,1.0,-0.04712658391085345,0.0,-0.625,0.0,,0.0,0.0,0.0,0.0,1,1926911533,0.85,reverse
base_bon,64,-0.29655190069302395,5.943448099306976,0.05655190069302396,-0.24,6.0,0.0,1.0,-0.05655190069302396,0.0,-0.75,0.0,,0.0,0.0,0.0,0.0,1,1927390237,0.85,reverse
memory_bon,1,-6.1683518810107305,0.04164811898926957,5.9583518810107305,-7.21,-1.0,7.0,0.0,1.0416481189892695,0.0,0.125,0.875,0.125,0.86,0.25,0.0074655786880942696,1.2145869442571313,1,1926761938,0.85,reverse
memory_bon,4,-3.3272481398675575,2.9127518601324422,3.0872481398675578,-10.24,-4.0,10.0,0.0,6.912751860132443,0.0,0.5,0.8472222222222221,0.1527777777777778,0.86,0.3055555555555556,0.012116318429066013,1.29817359892657,1,1926791857,0.85,reverse
memory_bon,16,-2.8135966911222496,3.4264033088777506,2.5735966911222494,-12.24,-6.0,12.0,0.0,9.42640330887775,0.0,0.75,0.8888888888888888,0.1111111111111111,0.86,0.2222222222222222,0.00816954784672035,1.2091456852717553,1,1926911533,0.85,reverse
memory_bon,64,-1.6477562947645266,4.592243705235473,1.4077562947645266,-14.24,-8.0,14.0,0.0,12.592243705235473,1.0,1.0,0.9166666666666666,0.08333333333333333,0.86,0.16666666666666666,0.0071370784394910874,1.1689782746072264,1,1927390237,0.85,reverse
oracle_memory_bon,1,-9.416964147154815,-3.206964147154813,9.206964147154814,-7.21,-1.0,7.0,0.0,-2.2069641471548147,0.0,0.125,0.0,1.0,0.86,0.0,0.005829657588620883,0.0699558910634506,1,1926761938,0.85,reverse
oracle_memory_bon,4,-1.076515483032581,5.103484516967419,0.896515483032581,-0.18,6.0,0.0,1.0,-0.896515483032581,0.0,-0.75,0.0,1.0,0.86,0.0,0.00444116748236478,0.05329400978837736,1,1926791857,0.85,reverse
oracle_memory_bon,16,-1.144148458404497,5.065851541595503,0.934148458404497,-1.21,5.0,1.0,1.0,0.065851541595503,0.0,-0.625,0.0,1.0,0.86,0.0,0.005692036546672472,0.06830443856006965,1,1926911533,0.85,reverse
oracle_memory_bon,64,-0.3705978981455045,6.1305978981455045,0.1305978981455045,-2.24,8.0,2.0,0.0,1.8694021018544957,0.0,-1.0,0.0,1.0,0.86,0.0,0.005654302330464077,0.06785162796556891,1,1927390237,0.85,reverse
repaired_memory_bon,1,-7.464331798408606,-0.6695197788154955,6.669519778815496,-7.21,-1.0,7.0,0.0,-0.2543317984086064,0.0,0.125,0.14772727272727273,0.8522727272727273,0.5312308539939505,0.22499999999999998,0.028091842688267626,0.6497911328812342,1,1926761938,0.85,reverse
